colval_1,colval_2,
Nokia,Lumia 1520,Nokia Lumia 1520
Nokia,Lumia 521,Nokia Lumia 521
Nokia,Lumia 525,Nokia Lumia 525
Nokia,Lumia 530,Nokia Lumia 530
Nokia,Lumia 625,Nokia Lumia 625
Nokia,Lumia 630,Nokia Lumia 630
Nokia,Lumia 630 Dual SIM,Nokia Lumia 630 Dual SIM
Nokia,Lumia 635,Nokia Lumia 635
Nokia,Lumia 735,Nokia Lumia 735
Nokia,Lumia 810,Nokia Lumia 810
Nokia,Lumia 820,Nokia Lumia 820
Nokia,Lumia 822,Nokia Lumia 822
Nokia,Lumia 830,Nokia Lumia 830
Nokia,Lumia 925,Nokia Lumia 925
Nokia,Lumia 928,Nokia Lumia 928
Nokia,Lumia 930,Nokia Lumia 930
Nokia,Lumia Icon,Nokia Lumia Icon
Nokia,X,Nokia X
Nokia,XL,Nokia XL
Oppo,A31,Oppo A31
Oppo,Mirror 5s,Oppo Mirror 5s
Oppo,R7 Plus High Version,Oppo R7 Plus High Version
Oppo,R9,Oppo R9
Oukitel,C2,Oukitel C2
Oukitel,K4000,Oukitel K4000
Oukitel,K4000 Pro,Oukitel K4000 Pro
Oukitel,K6000 Pro,Oukitel K6000 Pro
Oukitel,Original One,Oukitel Original One
Oukitel,Original Pure,Oukitel Original Pure
Oukitel,U7,Oukitel U7
Oukitel,U8 Universe Tap,Oukitel U8 Universe Tap
Panasonic,Lumix Smart Camera CM1,Panasonic Lumix Smart Camera CM1
Pantech,Discover,Pantech Discover
Pantech,Flex,Pantech Flex
Pantech,Vega Secret Up,Pantech Vega Secret Up
Posh Mobile,Icon S510,Posh Mobile Icon S510
Posh Mobile,Revel Pro X510,Posh Mobile Revel Pro X510
Posh Mobile,Titan Max HD E600,Posh Mobile Titan Max HD E600
Posh Mobile,Titan Pro HD E550,Posh Mobile Titan Pro HD E550
Posh Mobile,Ultra 5.0 LTE,Posh Mobile Ultra 5.0 LTE
Sharp,Aquos Crystal,Sharp Aquos Crystal
Sony,Xperia Z5,Sony Xperia Z5
TCL,Idol X,TCL Idol X
Uhappy,UP520,Uhappy UP520
Ulefone,Be Pro,Ulefone Be Pro
Ulefone,Be Pro 2,Ulefone Be Pro 2
Ulefone,Be Pure,Ulefone Be Pure
Ulefone,Be Touch 2,Ulefone Be Touch 2
Ulefone,Be Touch 3,Ulefone Be Touch 3
Ulefone,Paris,Ulefone Paris
Ulefone,Power,Ulefone Power
Ulefone,Vienna,Ulefone Vienna
UMi,Rome,UMi Rome
UMi,Rome X,UMi Rome X
UMi,Touch X,UMi Touch X
Verykool,Fusion II SL4502,Verykool Fusion II SL4502
Verykool,Leo JR s4005,Verykool Leo JR s4005
Verykool,Maverick LTE SL5550,Verykool Maverick LTE SL5550
Verykool,Spark LTE SL5011,Verykool Spark LTE SL5011
Vivo,X5Pro,Vivo X5Pro
Vivo,X6,Vivo X6
Vivo,X6Plus,Vivo X6Plus
Vivo,Xplay5,Vivo Xplay5
VKworld,F1,VKworld F1
VKworld,T2,VKworld T2
VKworld,T3,VKworld T3
VKworld,T6,VKworld T6
VKworld,VK560,VKworld VK560
VKworld,VK700,VKworld VK700
VKworld,VK700X,VKworld VK700X
VKworld,VK800X,VKworld VK800X
Yezz,Andy 4E LTE,Yezz Andy 4E LTE
Zopo,Color C ZP330,Zopo Color C ZP330
Zopo,Hero 1,Zopo Hero 1
Zopo,Speed 7,Zopo Speed 7
ZTE,Avid 4G,ZTE Avid 4G
ZTE,Avid Plus,ZTE Avid Plus
ZTE,Axon,ZTE Axon
ZTE,Axon Pro,ZTE Axon Pro
ZTE,Blade S6,ZTE Blade S6
ZTE,Director,ZTE Director
ZTE,Imperial,ZTE Imperial
ZTE,Maven,ZTE Maven
ZTE,Obsidian,ZTE Obsidian
ZTE,Rapido,ZTE Rapido
ZTE,Solar,ZTE Solar
ZTE,Sonata 4G,ZTE Sonata 4G
ZTE,Star 1,ZTE Star 1
ZTE,V5S,ZTE V5S
ZTE,Warp 4G,ZTE Warp 4G
ZTE,Warp Elite,ZTE Warp Elite
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
