product_id,,source_product_name,url
400469,,,http://click.linksynergy.com/fs-bin/click?id=7UoMiEQx/2c&subid=&offerid=355974.1&type=10&tmpid=13127&u1=tvs&RD_PARM1=http%253A%252F%252Fwww.bestbuy.com%252Fsite%252Fsamsung-64-class-64-diag--plasma-1080p-smart-3d-hdtv-black%252F8244057.p%253Fid%253D1218866280036%2526skuId%253D8244057
400308,,,http://click.linksynergy.com/fs-bin/click?id=7UoMiEQx/2c&subid=&offerid=355974.1&type=10&tmpid=13127&u1=tvs&RD_PARM1=http%253A%252F%252Fwww.bestbuy.com%252Fsite%252Fvizio-m-series-55-class-54-5-8-diag--led-1080p-240hz-smart-3d-hdtv%252F1308130284.p%253Fid%253Dmp1308130284%2526skuId%253D1308130284
400046,,,http://www.bestbuy.com/site/samsung-32-class-31-1-2-diag--led-1080p-60hz-smart-hdtv/5555718.p?id=1218690756734&
400486,,,http://www.bestbuy.ca/en-CA/product/lg-electronics-lg-50-1080p-120hz-led-smart-tv-50lb6100-50lb6100/10292454.aspx
400279,,,http://www.bestbuy.com/site/lg-22-class-21-1-2-diag--led-1080p-120hz-hdtv/6148005.p?id=1219192078548&skuId=6148005
400488,,,http://www.bestbuy.ca/en-CA/product/lg-electronics-lg-60-1080p-120hz-led-smart-tv-60lb6100-60lb6100/10292456.aspx
400021,,,http://www.bestbuy.com/site/lg-32-class-31-1-2-diag--led-1080p-60hz-hdtv/7554051.p?id=1218851196988&skuId=7554051
400029,,,http://www.bestbuy.com/site/lg-60-class-59-1-2-diag--led-1080p-hdtv-black/7525069.p?id=1218849838837&skuId=7525069
400355,,,http://www.bestbuy.com/site/samsung-51-class-50-3-4-diag--plasma-720p-hdtv-black/8240051.p?id=1218866284933&skuId=8240051
400909,,,http://www.bestbuy.com/site/insignia-32-class-31-1-2-diag--led-1080p-hdtv-black/6230244.p?id=1219198829508&skuId=6230244&productCategoryId=abcat0101001
400368,,,http://www.bestbuy.com/site/sharp-aquos-q-series-80-class-80-diag--led-1080p-smart-3d-hdtv-silver/3348009.p?id=1219090884300&skuId=3348009
400931,,,http://www.bestbuy.com/site/haier-39-class-38-1-2-diag--led-1080p-60hz-hdtv/1310164512.p?id=mp1310164512&skuId=1310164512
400364,,,http://www.bestbuy.com/site/sharp-aquos-q-series-70-class-69-1-2-diag--led-1080p-smart-3d-hdtv-silver/3348018.p?id=1219090884303&skuId=3348018
